ID,TIMEVALUE,부품명,기준값,표준값,측정값,상한치,하한치,검사결과,High핀(입력),Low핀(출력)
-2,2024-01-08 11:20,,,,,,,OK,,
-1,2024-01-08 11:20,,,,,,,OK,,
2197,2024-01-08 11:20,E2,5000,10000,0,2310,-3750,OK,88134,1072346
2198,2024-01-08 11:20,E2,5000,10000,0,2310,-3750,OK,96459,979796
2199,2024-01-08 11:20,E2,5000,10000,0,2310,-3750,OK,88134,1072346
2200,2024-01-08 11:20,E2,50,100,30.393,2310,-3750,OK,88134,1009412
2201,2024-01-08 11:20,E2,2500,5000,9.174,-2310,3750,OK,88134,1010646
2202,2024-01-08 11:20,F2,5000,10000,0,2310,-3750,OK,96459,979796
2203,2024-01-08 11:20,F2,5000,10000,2939.607,2310,-3750,OK,87579,979796
2204,2024-01-08 11:20,E2,50,100,32.373,2310,-3750,OK,88134,1050134
2205,2024-01-08 11:20,F2,150,10000,4366.23,3850,-6250,OK,94572,979796
2206,2024-01-08 11:20,E2,5000,10000,0,2310,-3750,OK,96459,979796
2207,2024-01-08 11:20,E2,5000,10000,0,2310,-3750,OK,88134,1015582
2208,2024-01-08 11:20,E2,500,1000,0,2310,-3750,OK,88245,979796
2209,2024-01-08 11:20,E2,5000,10000,0,2310,-3750,OK,88134,1072346
2210,2024-01-08 11:20,E2,5000,10000,0,2310,-3750,OK,88134,1072346
2211,2024-01-08 11:20,E2,5000,10000,0,2310,-3750,OK,88134,1014348
2212,2024-01-08 11:20,A2,5000,10000,3199.746,2310,-3750,OK,100899,979796
2213,2024-01-08 11:20,E2,5000,10000,0,2310,-3750,OK,88134,1072346
2214,2024-01-08 11:20,E2,5000,10000,0,2310,-3750,OK,88134,1072346
2215,2024-01-08 11:20,E2,500,1000,362.538,2310,-3750,OK,88134,1073580
2216,2024-01-08 11:20,F2,235,10000,4034.976,3850,-6250,OK,88134,987200
2217,2024-01-08 11:20,F2,5000,10000,2921.721,2310,-3750,OK,88134,1060006
2218,2024-01-08 11:20,F2,50,200,0,2310,-3750,OK,88134,1116770
2219,2024-01-08 11:20,B2,235,10000,3430.02,3850,-6250,OK,88134,1146386
2220,2024-01-08 11:20,B2,5000,10000,2853.444,2310,-3750,OK,102342,979796
2221,2024-01-08 11:20,B2,50,200,0,2310,-3750,OK,88134,1116770
2222,2024-01-08 11:20,E2,500,1000,366.333,2310,-3750,OK,88134,1071112
2223,2024-01-08 11:20,E2,500,1000,358.875,2310,-3750,OK,88134,1069878
2224,2024-01-08 11:20,F2,50,100,33.726,2310,-3750,OK,88245,979796
2225,2024-01-08 11:20,A2,2350,4700,1410.618,2310,-3750,OK,107559,979796
2226,2024-01-08 11:20,F2,5000,10000,3167.571,2310,-3750,OK,96459,979796
2227,2024-01-08 11:20,E2,235,470,156.684,2310,-3750,OK,91353,979796
2228,2024-01-08 11:20,E2,235,470,150.249,2310,-3750,OK,91242,979796
2229,2024-01-08 11:20,E2,25,10000,4106.355,3850,-6250,OK,93684,979796
2230,2024-01-08 11:20,E2,25,10000,3374.712,3850,-6250,OK,88134,1040262
2231,2024-01-08 11:20,A2,2500,2000,544.665,3850,-6250,OK,107892,1178470
2232,2024-01-08 11:20,A2,2500,5000,0,2310,-3750,OK,0,1178470
2233,2024-01-08 11:20,A2,37.5,75,25.509,2310,-3750,OK,107892,1178470
2234,2024-01-08 11:20,A2,235,470,155.397,2310,-3750,OK,107115,1192044
2235,2024-01-08 11:20,A2,2350,4700,1563.738,2310,-3750,OK,88134,1192044
2236,2024-01-08 11:20,A2,500,1000,327.294,2310,-3750,OK,107448,1121706
2237,2024-01-08 11:20,A2,235,470,155.628,2310,-3750,OK,107781,1194512
2238,2024-01-08 11:20,A2,11000,22000,7144.005,2310,-3750,OK,107559,1196980
2239,2024-01-08 11:20,A2,11000,22000,7769.553,2310,-3750,OK,106005,1195746
2240,2024-01-08 11:20,A2,235,470,156.222,2310,-3750,OK,99234,1193278
2241,2024-01-08 11:20,A2,2350,4700,1533.51,2310,-3750,OK,107337,979796
2242,2024-01-08 11:20,E2,500,1000,23046.177,-2310,3750,OK,96459,1027922
2243,2024-01-08 11:20,F2,7500,15000,4295.115,2310,-3750,OK,90132,1027922
2244,2024-01-08 11:20,F2,7500,15000,4938.483,2310,-3750,OK,90021,1021752
2245,2024-01-08 11:20,F2,7500,15000,4113.483,2310,-3750,OK,90687,981030
