SerialNo,ReceivedDateTime,SpindleSpeed_max,ServoCurrent_X_max,ServoCurrent_Z1_max,ServoCurrent_Z2_max,ServoCurrent_Z3_max,ServoLoad_X_max,ServoLoad_Z1_max,ServoLoad_Z2_max,ServoLoad_Z3_max,SpindleSpeed_mean,ServoCurrent_X_mean,ServoCurrent_Z1_mean,ServoCurrent_Z2_mean,ServoCurrent_Z3_mean,ServoLoad_X_mean,ServoLoad_Z1_mean,ServoLoad_Z2_mean,ServoLoad_Z3_mean,SpindleSpeed_min,ServoCurrent_X_min,ServoCurrent_Z1_min,ServoCurrent_Z2_min,ServoCurrent_Z3_min,ServoLoad_X_min,ServoLoad_Z1_min,ServoLoad_Z2_min,ServoLoad_Z3_min,SpindleSpeed_std,ServoCurrent_X_std,ServoCurrent_Z1_std,ServoCurrent_Z2_std,ServoCurrent_Z3_std,ServoLoad_X_std,ServoLoad_Z1_std,ServoLoad_Z2_std,ServoLoad_Z3_std,SpindleLoad_max,SpindleLoad_mean,SpindleLoad_min,SpindleLoad_std,passorfail
20220823-0000185,2022-08-23 03:14:36.906,2227.05,1429.15,1364.51,30.3,4188.47,118.17,85.85,30.3,4173.32,1252.3727027027026,158.41986486486488,196.95,30.3,107.97445945945945,17.593108108108108,12.311081081081081,30.3,101.34121621621622,0.0,1.01,6.0600000000000005,30.3,40.4,0.0,0.0,30.3,40.4,861.1211964362276,196.1891215400531,220.0051952747453,0.0,482.5953806011199,19.046611961491145,13.226897094788587,0.0,478.6810551519289,31398.31238,4271.395984604316,0.0,5320.5031138497725,0
20220823-0000186,2022-08-23 03:14:37.884,2227.05,1510.96,3144.13,30.3,4188.47,154.53,173.72,30.3,418.14,1180.780641025641,151.36403846153846,199.61743589743588,30.3,122.6049358974359,18.49076923076923,12.760961538461538,30.3,50.09211538461538,0.0,1.01,1.01,30.3,40.4,0.0,0.0,30.3,40.4,867.7935855132177,170.4185057088186,302.61325741267376,0.0,568.9194114381851,21.173072682448097,18.608439383927042,0.0,59.504038018798425,32008.19381,3241.4464112500004,0.0,5001.03189066597,0
20220823-0000187,2022-08-23 03:15:50.892,2227.05,1068.58,3144.13,30.3,4579.34,147.46,93.93,30.3,482.78000000000003,1189.072356687898,143.85745222929935,220.03203821656052,30.3,74.8171974522293,16.693949044585988,11.180764331210192,30.3,45.68802547770701,0.0,1.01,0.0,30.3,40.4,0.0,0.0,30.3,40.4,875.9875815037495,134.33702820219875,404.64683687099193,0.0,363.84268688337636,18.603880637185938,12.62013283243626,0.0,46.23250738754361,31502.08988,3515.539293819918,0.0,4963.334280759584,0
20220823-0000188,2022-08-23 03:17:13.888,2224.02,937.28,2377.54,30.3,4183.42,184.83,220.18,30.3,4178.37,1260.8348648648648,145.80168918918918,249.23114864864866,30.3,102.19425675675676,17.852432432432433,14.15364864864865,30.3,104.5622972972973,0.0,1.01,0.0,30.3,40.4,0.0,0.0,30.3,40.4,853.5635963815112,139.3746925532497,392.3386310788819,0.0,479.2446378624686,22.790164238337777,23.841988350227314,0.0,479.78397897730775,31207.89506,3391.7205135054346,0.0,4736.149888780461,0
20220823-0000189,2022-08-23 03:18:26.904,2225.03,681.75,2377.54,30.3,4556.11,177.76,220.18,30.3,4174.33,1221.9811764705883,144.09993464052286,221.32202614379088,30.3,97.11843137254903,18.490261437908497,14.24562091503268,30.3,75.32091503267974,0.0,2.02,7.07,30.3,40.4,0.0,0.0,30.3,40.4,865.0804545856928,115.06110541459563,327.14010315042583,0.0,492.93025141247546,21.737385753637156,24.96969612267832,0.0,337.1641699939637,32091.01381,3114.918299278846,0.0,4825.433522957373,0
20220823-0000191,2022-08-23 03:20:59.888,2227.05,1552.3700000000001,1446.32,30.3,4309.67,180.79,208.06,30.3,4170.29,1208.8643790849674,154.38477124183007,198.00620915032678,30.3,95.55392156862746,18.6618954248366,14.93875816993464,30.3,72.9048366013072,0.0,2.02,3.0300000000000002,30.3,40.4,0.0,0.0,30.3,40.4,866.664023030272,159.37899203878396,236.85040140091883,0.0,478.9476795327836,22.484719701100545,27.61554659373646,0.0,335.8039238455516,31375.77625,3605.2462350478795,0.0,5089.014404964931,0
20220823-0000192,2022-08-23 03:22:16.387,2227.05,1552.3700000000001,2998.69,30.3,4309.67,182.81,209.07,30.3,498.94,1211.3703896103898,165.6531168831169,218.5403896103896,30.3,100.8885064935065,18.88831168831169,16.087857142857143,30.3,51.49032467532468,0.0,1.01,9.09,30.3,40.4,0.0,0.0,30.3,40.4,865.5769451894818,207.6234551372696,329.6145016328861,0.0,478.32104031096225,22.868531688039674,30.119864803329435,0.0,68.09436638114606,31689.760000000002,3149.6401635628017,0.0,4918.5404989333,0
20220823-0000193,2022-08-23 03:23:33.382,2223.01,1086.76,1447.33,30.3,4656.1,182.81,209.07,30.3,4177.36,1222.1792156862743,158.99248366013072,182.42712418300653,30.3,79.42692810457517,21.414640522875818,14.073986928104576,30.3,72.67379084967321,0.0,0.0,1.01,30.3,40.4,0.0,0.0,30.3,40.4,870.5540252929068,176.22491830093279,212.3154573587115,0.0,376.47513348237106,31.38282418305197,23.92980742885001,0.0,336.04973091612925,31286.880090000002,3504.6230190625,0.0,5068.6342808506615,0
20220823-0000194,2022-08-23 03:24:50.380,2226.04,1216.04,2057.37,30.3,4184.43,177.76,116.15,30.3,434.3,1220.6243506493508,155.74331168831168,196.12363636363636,30.3,123.86928571428571,18.422662337662338,12.008506493506493,30.3,47.96188311688312,0.0,0.0,1.01,30.3,40.4,0.0,0.0,30.3,40.4,870.1093634356648,160.81147975307698,262.93488061952013,0.0,572.7868208888202,20.854698374294394,14.628115498109073,0.0,53.66073788888668,31572.28488,3480.338371717305,0.0,5100.41734690229,0
20220823-0000195,2022-08-23 03:26:06.889,2228.06,1082.72,2057.37,30.3,4666.2,178.77,145.44,30.3,4169.28,1188.2943225806453,146.75625806451615,208.42490322580647,30.3,154.934,16.459741935483873,12.836774193548386,30.3,74.72045161290323,0.0,0.0,2.02,30.3,40.4,0.0,0.0,30.3,40.4,873.0766548941712,152.64334068593578,289.5954521889832,0.0,687.4078004176451,17.455708230310353,17.74210818817301,0.0,334.4024468276451,31286.80131,3361.2442875032507,0.0,4943.988515803523,0
